date,region,patients,geoOrder
19/07/2020,Midlands,246,3
19/07/2020,North East and Yorkshire,244,2
19/07/2020,North West,222,1
19/07/2020,South East,170,6
19/07/2020,South West,27,7
20/07/2020,East of England,134,4
20/07/2020,London,147,5
20/07/2020,Midlands,246,3
20/07/2020,North East and Yorkshire,208,2
20/07/2020,North West,230,1
20/07/2020,South East,169,6
20/07/2020,South West,28,7
21/07/2020,East of England,104,4
21/07/2020,London,143,5
21/07/2020,Midlands,250,3
21/07/2020,North East and Yorkshire,165,2
21/07/2020,North West,226,1
21/07/2020,South East,165,6
21/07/2020,South West,27,7
22/07/2020,East of England,108,4
22/07/2020,London,144,5
22/07/2020,Midlands,249,3
22/07/2020,North East and Yorkshire,166,2
22/07/2020,North West,370,1
22/07/2020,South East,151,6
22/07/2020,South West,22,7
23/07/2020,East of England,93,4
23/07/2020,London,139,5
23/07/2020,Midlands,229,3
23/07/2020,North East and Yorkshire,169,2
23/07/2020,North West,227,1
23/07/2020,South East,139,6
23/07/2020,South West,21,7
24/07/2020,East of England,99,4
24/07/2020,London,124,5
24/07/2020,Midlands,207,3
24/07/2020,North East and Yorkshire,134,2
24/07/2020,North West,220,1
24/07/2020,South East,125,6
24/07/2020,South West,19,7
25/07/2020,East of England,85,4
25/07/2020,London,87,5
25/07/2020,Midlands,194,3
25/07/2020,North East and Yorkshire,130,2
25/07/2020,North West,224,1
25/07/2020,South East,113,6
25/07/2020,South West,18,7
26/07/2020,East of England,98,4
26/07/2020,London,120,5
26/07/2020,Midlands,191,3
26/07/2020,North East and Yorkshire,125,2
26/07/2020,North West,218,1
26/07/2020,South East,114,6
26/07/2020,South West,20,7
27/07/2020,East of England,93,4
27/07/2020,London,114,5
27/07/2020,Midlands,201,3
27/07/2020,North East and Yorkshire,127,2
27/07/2020,North West,214,1
27/07/2020,South East,91,6
27/07/2020,South West,24,7
28/07/2020,East of England,89,4
28/07/2020,London,108,5
28/07/2020,Midlands,202,3
28/07/2020,North East and Yorkshire,126,2
28/07/2020,North West,210,1
28/07/2020,South East,111,6
28/07/2020,South West,22,7
29/07/2020,East of England,88,4
29/07/2020,London,111,5
29/07/2020,Midlands,188,3
29/07/2020,North East and Yorkshire,126,2
29/07/2020,North West,199,1
29/07/2020,South East,116,6
29/07/2020,South West,22,7
30/07/2020,East of England,78,4
30/07/2020,London,115,5
30/07/2020,Midlands,189,3
30/07/2020,North East and Yorkshire,122,2
30/07/2020,North West,199,1
30/07/2020,South East,112,6
30/07/2020,South West,20,7
31/07/2020,East of England,73,4
31/07/2020,London,109,5
31/07/2020,Midlands,191,3
31/07/2020,North East and Yorkshire,117,2
31/07/2020,North West,190,1
31/07/2020,South East,107,6
31/07/2020,South West,20,7
01/08/2020,East of England,81,4
01/08/2020,London,107,5
01/08/2020,Midlands,197,3
01/08/2020,North East and Yorkshire,117,2
01/08/2020,North West,186,1
01/08/2020,South East,103,6
01/08/2020,South West,18,7
02/08/2020,East of England,76,4
02/08/2020,London,99,5
02/08/2020,Midlands,175,3
02/08/2020,North East and Yorkshire,119,2
02/08/2020,North West,180,1
02/08/2020,South East,100,6
02/08/2020,South West,20,7
03/08/2020,East of England,69,4
03/08/2020,London,104,5
03/08/2020,Midlands,186,3
03/08/2020,North East and Yorkshire,114,2
03/08/2020,North West,172,1
03/08/2020,South East,102,6
03/08/2020,South West,20,7
04/08/2020,East of England,64,4
04/08/2020,London,102,5
04/08/2020,Midlands,164,3
04/08/2020,North East and Yorkshire,122,2
04/08/2020,North West,169,1
04/08/2020,South East,96,6
04/08/2020,South West,20,7
05/08/2020,East of England,64,4
05/08/2020,London,96,5
05/08/2020,Midlands,162,3
05/08/2020,North East and Yorkshire,124,2
05/08/2020,North West,168,1
05/08/2020,South East,90,6
05/08/2020,South West,23,7
06/08/2020,East of England,66,4
06/08/2020,London,99,5
06/08/2020,Midlands,159,3
06/08/2020,North East and Yorkshire,127,2
06/08/2020,North West,145,1
06/08/2020,South East,76,6
06/08/2020,South West,19,7
07/08/2020,East of England,54,4
07/08/2020,London,92,5
07/08/2020,Midlands,158,3
07/08/2020,North East and Yorkshire,110,2
07/08/2020,North West,145,1
07/08/2020,South East,62,6
07/08/2020,South West,17,7
08/08/2020,East of England,53,4
08/08/2020,London,96,5
08/08/2020,Midlands,77,3
08/08/2020,North East and Yorkshire,116,2
08/08/2020,North West,140,1
08/08/2020,South East,65,6
08/08/2020,South West,18,7
09/08/2020,East of England,53,4
09/08/2020,London,94,5
09/08/2020,Midlands,83,3
09/08/2020,North East and Yorkshire,117,2
09/08/2020,North West,123,1
09/08/2020,South East,56,6
09/08/2020,South West,19,7
10/08/2020,East of England,58,4
10/08/2020,London,93,5
10/08/2020,Midlands,142,3
10/08/2020,North East and Yorkshire,121,2
10/08/2020,North West,147,1
10/08/2020,South East,67,6
10/08/2020,South West,19,7
11/08/2020,East of England,55,4
11/08/2020,London,90,5
11/08/2020,Midlands,136,3
11/08/2020,North East and Yorkshire,114,2
11/08/2020,North West,141,1
11/08/2020,South East,55,6
11/08/2020,South West,15,7
12/08/2020,East of England,52,4
12/08/2020,London,96,5
12/08/2020,Midlands,132,3
12/08/2020,North East and Yorkshire,108,2
12/08/2020,North West,134,1
12/08/2020,South East,46,6
12/08/2020,South West,15,7
13/08/2020,East of England,53,4
13/08/2020,London,91,5
13/08/2020,Midlands,135,3
13/08/2020,North East and Yorkshire,114,2
13/08/2020,North West,138,1
13/08/2020,South East,51,6
13/08/2020,South West,15,7
14/08/2020,East of England,48,4
14/08/2020,London,92,5
14/08/2020,Midlands,127,3
