"length","maxPageLimit","data__areaType","data__areaName","data__areaCode","data__date","data__femaleCases__age","data__femaleCases__value","data__femaleCases__rate","data__maleCases__age","data__maleCases__value","data__maleCases__rate","pagination__current","pagination__next","pagination__previous","pagination__first","pagination__last"
"","","","","","","15_to_19","4236","1615.8","60_to_64","3316","1736","","","","",""
"","","","","","","25_to_29","8419","2986","30_to_34","6739","1753.9","","","","",""
"","","","","","","85_to_89","1605","2886.5","85_to_89","1385","3658.5","","","","",""
"","","","","","","70_to_74","1560","1065.7","15_to_19","3723","1351.6","","","","",""
"","","","","","","40_to_44","5076","1346.1","5_to_9","1205","496.4","","","","",""
"","","","","","","20_to_24","6601","2907.9","35_to_39","5543","1289.7","","","","",""
"","","","","","","35_to_39","5765","1411.9","45_to_49","4512","1333.1","","","","",""
"","","","","","","55_to_59","3993","1391.7","40_to_44","4750","1174.5","","","","",""
"","","","","","","75_to_79","1478","1386.2","80_to_84","1759","2684.2","","","","",""
"","","","","","","0_to_4","1163","393.4","70_to_74","2014","1583.7","","","","",""
"","","","","","","45_to_49","4906","1520.9","75_to_79","1775","2047.6","","","","",""
"","","","","","","65_to_69","1865","1131.9","65_to_69","2298","1551.1","","","","",""
"","","","","","","10_to_14","1895","644.2","10_to_14","2031","657.7","","","","",""
"","","region","London","E12000007","2020-11-13","5_to_9","1057","418.2","35_to_39","5443","1266.5","","","","",""
"","","","","","","80_to_84","1561","1830.3","90+","896","4548.7","","","","",""
"","","","","","","40_to_44","4976","1319.5","45_to_49","4450","1314.8","","","","",""
"","","","","","","15_to_19","4175","1592.6","10_to_14","1978","640.5","","","","",""
"","","","","","","60_to_64","2721","1360.1","65_to_69","2269","1531.5","","","","",""
"","","","","","","25_to_29","8296","2942.4","55_to_59","4060","1449.4","","","","",""
"","","","","","","70_to_74","1542","1053.5","15_to_19","3652","1325.8","","","","",""
"","","","","","","0_to_4","1142","386.3","70_to_74","1995","1568.8","","","","",""
"","","","","","","90+","1591","4213.7","50_to_54","4307","1429.7","","","","",""
"","","","","","","85_to_89","1599","2875.7","85_to_89","1379","3642.7","","","","",""
"","","","","","","35_to_39","5679","1390.8","30_to_34","6640","1728.2","","","","",""
"","","","","","","65_to_69","1836","1114.3","20_to_24","5264","2187.9","","","","",""
"","","","","","","45_to_49","4817","1493.3","80_to_84","1750","2670.5","","","","",""
"","","","","","","30_to_34","7192","1864.2","60_to_64","3275","1714.5","","","","",""
"","","","","","","55_to_59","3944","1374.7","75_to_79","1765","2036.1","","","","",""
"","","","","","","75_to_79","1464","1373.1","0_to_4","1235","397.9","","","","",""
"","","","","","","50_to_54","4616","1562.8","40_to_44","4677","1156.5","","","","",""
"","","","","","","10_to_14","1854","630.2","25_to_29","6866","2422.1","","","","",""
"","","","","","","20_to_24","6509","2867.4","5_to_9","1185","488.2","","","","",""
"","","region","London","E12000007","2020-11-12","10_to_14","1802","612.6","20_to_24","5156","2143","","","","",""
"","","","","","","85_to_89","1590","2859.5","25_to_29","6713","2368.1","","","","",""
"","","","","","","55_to_59","3870","1348.9","90+","889","4513.1","","","","",""
"","","","","","","30_to_34","7038","1824.3","75_to_79","1743","2010.7","","","","",""
"","","","","","","45_to_49","4720","1463.2","30_to_34","6488","1688.6","","","","",""
"","","","","","","25_to_29","8113","2877.5","40_to_44","4582","1133","","","","",""
"","","","","","","15_to_19","4069","1552.1","35_to_39","5322","1238.3","","","","",""
"","","","","","","5_to_9","1023","404.8","50_to_54","4233","1405.1","","","","",""
"","","","","","","65_to_69","1807","1096.7","5_to_9","1146","472.1","","","","",""
"","","","","","","40_to_44","4855","1287.5","10_to_14","1896","614","","","","",""
"","","","","","","60_to_64","2662","1330.6","70_to_74","1966","1546","","","","",""
"","","","","","","90+","1578","4179.2","15_to_19","3581","1300","","","","",""
"","","","","","","70_to_74","1521","1039.1","60_to_64","3222","1686.8","","","","",""
"","","","","","","20_to_24","6369","2805.7","80_to_84","1733","2644.5","","","","",""
"","","","","","","75_to_79","1446","1356.2","0_to_4","1196","385.3","","","","",""
"","","","","","","35_to_39","5524","1352.8","55_to_59","3977","1419.8","","","","",""
"","","","","","","80_to_84","1552","1819.8","45_to_49","4360","1288.2","","","","",""
"","","","","","","50_to_54","4530","1533.7","85_to_89","1367","3611","","","","",""
"","","","","","","0_to_4","1109","375.2","65_to_69","2243","1514","","","","",""
"","","region","London","E12000007","2020-11-11","60_to_64","2617","1308.1","60_to_64","3163","1655.9","","","","",""
"","","","","","","5_to_9","990","391.7","65_to_69","2217","1496.4","","","","",""
"","","","","","","0_to_4","1071","362.3","75_to_79","1724","1988.8","","","","",""
"","","","","","","70_to_74","1493","1020","30_to_34","6326","1646.4","","","","",""
"","","","","","","55_to_59","3786","1319.6","15_to_19","3474","1261.2","","","","",""
"","","","","","","90+","1570","4158.1","70_to_74","1942","1527.1","","","","",""
"","","","","","","80_to_84","1534","1798.7","10_to_14","1843","596.8","","","","",""
"","","","","","","10_to_14","1744","592.8","85_to_89","1357","3584.5","","","","",""
"","","","","","","65_to_69","1774","1076.6","55_to_59","3903","1393.4","","","","",""
"","","","","","","20_to_24","6198","2730.4","25_to_29","6547","2309.5","","","","",""
"","","","","","","85_to_89","1584","2848.7","5_to_9","1090","449.1","","","","",""
"","","","","","","45_to_49","4605","1427.6","20_to_24","5042","2095.6","","","","",""
"","","","","","","15_to_19","3965","1512.5","35_to_39","5213","1212.9","","","","",""
"","","","","","","30_to_34","6874","1781.8","0_to_4","1160","373.7","","","","",""
"","","","","","","35_to_39","5379","1317.3","50_to_54","4143","1375.2","","","","",""
"","","","","","","50_to_54","4442","1503.9","90+","884","4487.8","","","","",""
"","","","","","","75_to_79","1426","1337.4","80_to_84","1719","2623.2","","","","",""
"","","","","","","40_to_44","4738","1256.4","45_to_49","4267","1260.7","","","","",""
"","","","","","","25_to_29","7931","2812.9","40_to_44","4471","1105.5","","","","",""
"","","region","London","E12000007","2020-11-10","45_to_49","4502","1395.6","80_to_84","1699","2592.7","","","","",""
"","","","","","","90+","1560","4131.6","50_to_54","4053","1345.4","","","","",""
"","","","","","","70_to_74","1451","991.3","15_to_19","3392","1231.4","","","","",""
"","","","","","","15_to_19","3861","1472.8","45_to_49","4181","1235.3","","","","",""
"","","","","","","85_to_89","1572","2827.1","65_to_69","2180","1471.4","","","","",""
"","","","","","","25_to_29","7714","2735.9","90+","877","4452.2","","","","",""
"","","","","","","80_to_84","1513","1774.1","70_to_74","1913","1504.3","","","","",""
"","","","","","","30_to_34","6690","1734.1","55_to_59","3826","1365.9","","","","",""
"","","","","","","40_to_44","4620","1225.1","0_to_4","1114","358.9","","","","",""
"","","","","","","35_to_39","5235","1282.1","75_to_79","1704","1965.7","","","","",""
"","","","","","","20_to_24","6053","2666.5","10_to_14","1775","574.8","","","","",""
"","","","","","","5_to_9","954","377.5","85_to_89","1345","3552.8","","","","",""
"","","","","","","65_to_69","1739","1055.4","25_to_29","6381","2251","","","","",""
"","","","","","","0_to_4","1028","347.8","35_to_39","5109","1188.7","","","","",""
"","","","","","","60_to_64","2555","1277.1","30_to_34","6179","1608.2","","","","",""
"","","","","","","75_to_79","1407","1319.6","60_to_64","3113","1629.7","","","","",""
"","","","","","","55_to_59","3710","1293.1","40_to_44","4347","1074.9","","","","",""
"","","","","","","50_to_54","4334","1467.4","20_to_24","4919","2044.5","","","","",""
"","","","","","","10_to_14","1681","571.4","5_to_9","1046","430.9","","","","",""
"","","region","London","E12000007","2020-11-09","5_to_9","921","364.4","0_to_4","1085","349.5","","","","",""
"","","","","","","0_to_4","993","335.9","40_to_44","4239","1048.2","","","","",""
"","","","","","","10_to_14","1623","551.7","35_to_39","5009","1165.5","","","","",""
"","","","","","","80_to_84","1501","1760","5_to_9","1010","416.1","","","","",""
"","","","","","","90+","1552","4110.4","25_to_29","6231","2198.1","","","","",""
"","","","","","","85_to_89","1561","2807.4","50_to_54","3954","1312.5","","","","",""
"","","","","","","30_to_34","6519","1689.8","10_to_14","1707","552.8","","","","",""
"","","","","","","60_to_64","2495","1247.1","15_to_19","3301","1198.4","","","","",""
"","","","","","","65_to_69","1707","1036","70_to_74","1888","1484.6","","","","",""
"","","","","","","15_to_19","3780","1441.9","60_to_64","3068","1606.2","","","","",""
"","","","","","","70_to_74","1420","970.1","45_to_49","4091","1208.7","","","","",""
"","","","","","","25_to_29","7544","2675.6","20_to_24","4797","1993.8","","","","",""
"","","","","","","75_to_79","1389","1302.7","90+","870","4416.7","","","","",""
"","","","","","","20_to_24","5889","2594.3","55_to_59","3748","1338.1","","","","",""
"","","","","","","35_to_39","5118","1253.4","85_to_89","1333","3521.1","","","","",""
"","","","","","","50_to_54","4232","1432.8","75_to_79","1692","1951.8","","","","",""
"","","","","","","55_to_59","3615","1260","80_to_84","1685","2571.3","","","","",""
"","","","","","","40_to_44","4504","1194.4","30_to_34","6044","1573","","","","",""
"","","","","","","45_to_49","4391","1361.2","65_to_69","2132","1439","","","","",""
"","","region","London","E12000007","2020-11-08","60_to_64","2443","1221.1","30_to_34","5870","1527.8","","","","",""
"","","","","","","35_to_39","4992","1222.5","25_to_29","6035","2128.9","","","","",""
"","","","","","","20_to_24","5716","2518","85_to_89","1324","3497.4","","","","",""
"","","","","","","85_to_89","1551","2789.4","60_to_64","3012","1576.9","","","","",""
"","","","","","","75_to_79","1363","1278.3","40_to_44","4115","1017.5","","","","",""
"","","","","","","5_to_9","879","347.8","5_to_9","968","398.8","","","","",""
"","","","","","","25_to_29","7339","2602.9","35_to_39","4880","1135.5","","","","",""
"","","","","","","55_to_59","3526","1229","90+","859","4360.8","","","","",""
"","","","","","","65_to_69","1667","1011.7","45_to_49","3968","1172.4","","","","",""
"","","","","","","70_to_74","1389","948.9","10_to_14","1635","529.4","","","","",""
"","","","","","","0_to_4","957","323.7","75_to_79","1682","1940.3","","","","",""
"","","","","","","90+","1542","4083.9","20_to_24","4659","1936.4","","","","",""
"","","","","","","30_to_34","6305","1634.3","0_to_4","1058","340.8","","","","",""
"","","","","","","80_to_84","1491","1748.3","70_to_74","1856","1459.5","","","","",""
"","","","","","","45_to_49","4287","1329","80_to_84","1671","2549.9","","","","",""
"","","","","","","50_to_54","4110","1391.5","65_to_69","2093","1412.7","","","","",""
"","","","","","","10_to_14","1577","536.1","15_to_19","3216","1167.5","","","","",""
"","","","","","","15_to_19","3669","1399.6","55_to_59","3650","1303.1","","","","",""
"","","","","","","40_to_44","4383","1162.3","50_to_54","3861","1281.6","","","","",""
"","","region","London","E12000007","2020-11-07","5_to_9","861","340.7","90+","853","4330.4","","","","",""
"","","","","","","60_to_64","2410","1204.6","55_to_59","3606","1287.4","","","","",""
"","","","","","","25_to_29","7208","2556.5","65_to_69","2074","1399.9","","","","",""
"","","","","","","50_to_54","4053","1372.2","10_to_14","1609","521","","","","",""
"","","","","","","65_to_69","1648","1000.2","30_to_34","5779","1504.1","","","","",""
"","","","","","","20_to_24","5617","2474.4","60_to_64","2972","1555.9","","","","",""
"","","","","","","75_to_79","1356","1271.8","25_to_29","5920","2088.4","","","","",""
"","","","","","","10_to_14","1556","528.9","80_to_84","1661","2534.7","","","","",""
"","","","","","","35_to_39","4897","1199.3","40_to_44","4047","1000.7","","","","",""
"","","","","","","85_to_89","1541","2771.4","70_to_74","1841","1447.7","","","","",""
"","","","","","","55_to_59","3471","1209.8","0_to_4","1037","334.1","","","","",""
"","","","","","","45_to_49","4225","1309.8","45_to_49","3911","1155.6","","","","",""
"","","","","","","90+","1538","4073.3","15_to_19","3162","1147.9","","","","",""
"","","","","","","70_to_74","1375","939.4","35_to_39","4783","1112.9","","","","",""
"","","","","","","40_to_44","4327","1147.4","5_to_9","940","387.3","","","","",""
"","","","","","","80_to_84","1481","1736.5","20_to_24","4579","1903.2","","","","",""
"","","","","","","15_to_19","3612","1377.8","75_to_79","1668","1924.2","","","","",""
"","","","","","","30_to_34","6200","1607.1","50_to_54","3800","1261.4","","","","",""
"","","","","","","0_to_4","930","314.6","85_to_89","1312","3465.7","","","","",""
"","","region","London","E12000007","2020-11-06","60_to_64","2383","1191.1","90+","851","4320.2","","","","",""
"","","","","","","80_to_84","1465","1717.8","65_to_69","2058","1389.1","","","","",""
"","","","","","","5_to_9","846","334.7","30_to_34","5664","1474.1","","","","",""
"","","","","","","85_to_89","1521","2735.4","70_to_74","1828","1437.4","","","","",""
"","","","","","","75_to_79","1342","1258.6","75_to_79","1662","1917.2","","","","",""
"","","","","","","45_to_49","4177","1294.9","40_to_44","3975","982.9","","","","",""
"","","","","","","35_to_39","4833","1183.6","15_to_19","3117","1131.6","","","","",""
"","","","","","","70_to_74","1365","932.5","5_to_9","917","377.8","","","","",""
"","","","","","","40_to_44","4263","1130.5","10_to_14","1576","510.3","","","","",""
"","","","","","","30_to_34","6109","1583.5","55_to_59","3563","1272","","","","",""
"","","","","","","0_to_4","915","309.5","85_to_89","1308","3455.1","","","","",""
"","","","","","","10_to_14","1524","518.1","50_to_54","3762","1248.8","","","","",""
"","","","","","","55_to_59","3424","1193.4","60_to_64","2932","1535","","","","",""
"","","","","","","90+","1532","4057.4","0_to_4","1024","329.9","","","","",""
"","","","","","","50_to_54","4001","1354.6","80_to_84","1655","2525.5","","","","",""
"","","","","","","25_to_29","7119","2524.9","35_to_39","4681","1089.2","","","","",""
"","","","","","","20_to_24","5517","2430.4","45_to_49","3830","1131.6","","","","",""
"","","","","","","15_to_19","3556","1356.5","25_to_29","5818","2052.4","","","","",""
"","","","","","","65_to_69","1637","993.5","20_to_24","4491","1866.6","","","","",""
"","","region","London","E12000007","2020-11-05","0_to_4","892","301.8","80_to_84","1648","2514.8","","","","",""
"","","","","","","40_to_44","4170","1105.8","0_to_4","1002","322.8","","","","",""
"","","","","","","35_to_39","4734","1159.4","75_to_79","1642","1894.2","","","","",""
"","","","","","","75_to_79","1325","1242.7","55_to_59","3500","1249.5","","","","",""
"","","","","","","10_to_14","1491","506.8","85_to_89","1295","3420.8","","","","",""
"","","","","","","5_to_9","821","324.8","40_to_44","3895","963.1","","","","",""
"","","","","","","15_to_19","3502","1335.9","15_to_19","3066","1113.1","","","","",""
"","","","","","","55_to_59","3373","1175.6","5_to_9","892","367.5","","","","",""
"","","","","","","65_to_69","1608","975.9","10_to_14","1535","497.1","","","","",""
"","","","","","","85_to_89","1511","2717.4","50_to_54","3706","1230.2","","","","",""
"","","","","","","45_to_49","4098","1270.4","20_to_24","4400","1828.8","","","","",""
"","","","","","","90+","1518","4020.3","90+","844","4284.7","","","","",""
"","","","","","","20_to_24","5380","2370","70_to_74","1815","1427.2","","","","",""
"","","","","","","80_to_84","1451","1701.4","30_to_34","5555","1445.8","","","","",""
"","","","","","","25_to_29","6958","2467.8","65_to_69","2026","1367.5","","","","",""
"","","","","","","70_to_74","1343","917.5","60_to_64","2891","1513.5","","","","",""
"","","","","","","60_to_64","2339","1169.1","45_to_49","3749","1107.7","","","","",""
"","","","","","","30_to_34","5995","1554","35_to_39","4574","1064.3","","","","",""
"","","","","","","50_to_54","3926","1329.2","25_to_29","5679","2003.3","","","","",""
"","","region","London","E12000007","2020-11-04","60_to_64","2302","1150.6","65_to_69","1993","1345.2","","","","",""
"","","","","","","85_to_89","1498","2694.1","75_to_79","1634","1884.9","","","","",""
"","","","","","","55_to_59","3317","1156.1","5_to_9","871","358.8","","","","",""
"","","","","","","90+","1512","4004.4","70_to_74","1793","1409.9","","","","",""
"","","","","","","0_to_4","863","291.9","90+","842","4274.5","","","","",""
