"length","maxPageLimit","data__areaType","data__areaName","data__areaCode","data__date","data__femaleCases__age","data__femaleCases__value","data__femaleCases__rate","data__maleCases__age","data__maleCases__value","data__maleCases__rate","pagination__current","pagination__next","pagination__previous","pagination__first","pagination__last"
"","","","","","","85_to_89","1669","3001.6","20_to_24","5876","2442.2","","","","",""
"","","","","","","20_to_24","7233","3186.3","15_to_19","4231","1536","","","","",""
"","","","","","","75_to_79","1574","1476.2","25_to_29","7611","2684.9","","","","",""
"","","","","","","90+","1665","4409.7","85_to_89","1459","3854","","","","",""
"","","","","","","80_to_84","1670","1958.1","40_to_44","5331","1318.2","","","","",""
"","","","","","","70_to_74","1698","1160","80_to_84","1838","2804.8","","","","",""
"","","","","","","30_to_34","8054","2087.7","35_to_39","6094","1417.9","","","","",""
"","","","","","","65_to_69","2034","1234.4","30_to_34","7410","1928.6","","","","",""
"","","","","","","55_to_59","4403","1534.6","0_to_4","1465","472","","","","",""
"","","","","","","35_to_39","6493","1590.1","55_to_59","4458","1591.5","","","","",""
"","","","","","","25_to_29","9217","3269","45_to_49","5043","1490","","","","",""
"","","","","","","50_to_54","5174","1751.8","75_to_79","1854","2138.7","","","","",""
"","","","","","","0_to_4","1353","457.7","10_to_14","2468","799.2","","","","",""
"","","","","","","60_to_64","3024","1511.5","70_to_74","2157","1696.2","","","","",""
"","","","","","","5_to_9","1324","523.9","65_to_69","2465","1663.8","","","","",""
"","","","","","","45_to_49","5509","1707.8","90+","934","4741.6","","","","",""
"","","region","London","E12000007","2020-11-19","85_to_89","1652","2971","50_to_54","4778","1586","","","","",""
"","","","","","","20_to_24","7136","3143.6","70_to_74","2136","1679.6","","","","",""
"","","","","","","40_to_44","5656","1499.9","30_to_34","7318","1904.6","","","","",""
"","","","","","","45_to_49","5428","1682.7","80_to_84","1825","2784.9","","","","",""
"","","","","","","10_to_14","2240","761.4","40_to_44","5236","1294.7","","","","",""
"","","","","","","55_to_59","4339","1512.3","85_to_89","1450","3830.2","","","","",""
"","","","","","","30_to_34","7945","2059.4","75_to_79","1846","2129.5","","","","",""
"","","","","","","35_to_39","6372","1560.5","45_to_49","4951","1462.8","","","","",""
"","","","","","","5_to_9","1282","507.2","5_to_9","1413","582.1","","","","",""
"","","","","","","70_to_74","1683","1149.8","90+","932","4731.4","","","","",""
"","","","","","","50_to_54","5101","1727.1","55_to_59","4406","1573","","","","",""
"","","","","","","90+","1656","4385.8","20_to_24","5799","2410.2","","","","",""
"","","","","","","60_to_64","2986","1492.5","60_to_64","3577","1872.6","","","","",""
"","","","","","","75_to_79","1554","1457.5","10_to_14","2402","777.8","","","","",""
"","","","","","","25_to_29","9089","3223.6","15_to_19","4175","1515.7","","","","",""
"","","","","","","65_to_69","2004","1216.2","65_to_69","2434","1642.9","","","","",""
"","","","","","","80_to_84","1660","1946.4","35_to_39","6020","1400.7","","","","",""
"","","","","","","0_to_4","1333","450.9","25_to_29","7518","2652.1","","","","",""
"","","","","","","15_to_19","4713","1797.8","0_to_4","1436","462.6","","","","",""
"","","region","London","E12000007","2020-11-18","30_to_34","7812","2025","10_to_14","2333","755.5","","","","",""
